Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
UKR,2015-01-01,2015-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,109.240000,I
UKR,2016-01-01,2016-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,120.020000,I
UKR,2017-01-01,2017-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,141.490000,I
UKR,2018-01-01,2018-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,156.120000,I
UKR,2019-01-01,2019-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,178.800000,I
UKR,2020-01-01,2020-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,198.590000,I
UKR,2021-01-01,2021-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,219.780000,I
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.790000,I
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,4.090000,I
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,6.800000,I
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,8.030000,I
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,9.000000,I
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,11.460000,I
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,14.110000,I
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,15.520000,I
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,16.310000,I
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,19.680000,I
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,20.740000,I
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,22.520000,I
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,23.050000,I
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,31.740000,I
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,34.930000,I
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,37.230000,I
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,48.400000,I
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,54.960000,I
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,58.690000,I
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,56.910000,I
UKR,2014-01-01,2014-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,70.740000,I
UKR,2015-01-01,2015-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,109.240000,I
UKR,2016-01-01,2016-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,120.020000,I
UKR,2017-01-01,2017-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,141.490000,I
UKR,2018-01-01,2018-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,156.120000,I
UKR,2019-01-01,2019-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,174.030000,I
UKR,2020-01-01,2020-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,195.760000,I
UKR,2021-01-01,2021-12-31,230,'804,Ukraine,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,215.880000,I
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,4514000.000000,A
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,17912300.000000,A
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,213.000000,A
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,150.000000,A
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,221.000000,A
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,405.000000,A
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,306.000000,A
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,436.000000,A
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,376.000000,A
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,304.000000,A
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,561.000000,A
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,820.000000,A
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,1264.000000,A
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,1278.000000,A
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,1426.000000,A
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,1428.000000,A
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,1947.000000,A
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,2551.000000,A
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,2180.000000,A
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,2485.000000,A
UKR,2014-01-01,2014-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,2293.000000,A
UKR,2015-01-01,2015-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,4773.000000,A
UKR,2016-01-01,2016-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,4524.000000,A
UKR,2017-01-01,2017-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,6929.000000,A
UKR,2018-01-01,2018-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,3883.000000,A
UKR,2019-01-01,2019-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,4727.000000,A
UKR,2020-01-01,2020-12-31,230,'804,Ukraine,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,6896.000000,A
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,45.100000,A
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,179.100000,A
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,213.000000,A
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,150.000000,A
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,221.000000,A
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),1999,1999,7021,Annual value,SLC,405.000000,A
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,306.000000,A
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,436.000000,A
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,376.000000,A
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2003,2003,7021,Annual value,SLC,304.000000,A
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2004,2004,7021,Annual value,SLC,561.000000,A
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2005,2005,7021,Annual value,SLC,820.000000,A
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2006,2006,7021,Annual value,SLC,1264.000000,A
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2007,2007,7021,Annual value,SLC,1278.000000,A
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2008,2008,7021,Annual value,SLC,1426.000000,A
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2009,2009,7021,Annual value,SLC,1428.000000,A
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2010,2010,7021,Annual value,SLC,1947.000000,A
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,2551.000000,A
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,2180.000000,A
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2013,2013,7021,Annual value,SLC,2485.000000,A
UKR,2014-01-01,2014-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2014,2014,7021,Annual value,SLC,2293.000000,A
UKR,2015-01-01,2015-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2015,2015,7021,Annual value,SLC,4773.000000,A
UKR,2016-01-01,2016-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2016,2016,7021,Annual value,SLC,4524.000000,A
UKR,2017-01-01,2017-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2017,2017,7021,Annual value,SLC,6929.000000,A
UKR,2018-01-01,2018-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2018,2018,7021,Annual value,SLC,3883.000000,A
UKR,2019-01-01,2019-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2019,2019,7021,Annual value,SLC,4727.000000,A
UKR,2020-01-01,2020-12-31,230,'804,Ukraine,515,'01341,Apples,5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,6896.000000,A
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1994,1994,7021,Annual value,USD,203.300000,A
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1995,1995,7021,Annual value,USD,159.800000,A
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1996,1996,7021,Annual value,USD,116.400000,A
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1997,1997,7021,Annual value,USD,80.600000,A
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1998,1998,7021,Annual value,USD,90.200000,A
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),1999,1999,7021,Annual value,USD,98.100000,A
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,56.200000,A
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,81.200000,A
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,70.600000,A
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2003,2003,7021,Annual value,USD,57.000000,A
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2004,2004,7021,Annual value,USD,105.500000,A
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2005,2005,7021,Annual value,USD,160.000000,A
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2006,2006,7021,Annual value,USD,250.300000,A
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2007,2007,7021,Annual value,USD,253.100000,A
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2008,2008,7021,Annual value,USD,270.700000,A
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2009,2009,7021,Annual value,USD,183.300000,A
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,245.400000,A
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,320.200000,A
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,272.800000,A
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,310.900000,A
UKR,2014-01-01,2014-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,192.900000,A
UKR,2015-01-01,2015-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,218.500000,A
UKR,2016-01-01,2016-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,177.100000,A
UKR,2017-01-01,2017-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,260.500000,A
UKR,2018-01-01,2018-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,142.800000,A
UKR,2019-01-01,2019-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2019,2019,7021,Annual value,USD,182.900000,A
UKR,2020-01-01,2020-12-31,230,'804,Ukraine,515,'01341,Apples,5532,Producer Price (USD/tonne),2020,2020,7021,Annual value,USD,255.800000,A
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,1.170000,I
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,4.640000,I
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,5.510000,I
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,3.880000,I
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,5.720000,I
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,10.480000,I
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,7.920000,I
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,11.290000,I
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,9.730000,I
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,7.870000,I
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,14.520000,I
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,21.230000,I
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,32.720000,I
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,33.080000,I
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,36.910000,I
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,36.960000,I
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,50.400000,I
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,66.030000,I
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,56.430000,I
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,64.320000,I
